brand,item_description_free_text,vendor,monthly_qty,unit_price_inr,payment_terms_days,lead_time_days,last_po_date
Lumen Skin,"Amber glass bottle 50ml 18mm neck",Vidhata Glass Works,22000,8.90,30,21,2026-07-02
Bloom Baby,"50 ml amber bottle, 18 mm, glass",Vidhata Glass Works,14000,8.90,30,21,2026-06-28
Sattva Wellness,"AMBER GLASS BTL 50ML NK18",Krishna Glass Udyog,18000,9.20,15,25,2026-07-09
Root & Rye,"Kraft mono carton 350gsm 4col matt",Shakti Packaging,38000,6.80,0,14,2026-07-05
Nimbu Home,"mono carton kraft 350 gsm 4 colour matt lam",Om Print & Pack,26000,6.25,45,15,2026-07-11
Lumen Skin,"Carton, kraft 350gsm, matt laminated, 4c",Om Print & Pack,31000,6.25,45,15,2026-07-03
Copper Kettle,"kraft carton 350gsm matt lam 4c",Shakti Packaging,17000,6.80,0,14,2026-06-30
Sattva Wellness,"PET jar 200ml white opaque 70mm",Meridian Polymers,29000,7.10,30,12,2026-07-08
Nimbu Home,"200ml PET jar, white, 70 mm neck",Meridian Polymers,21000,7.35,30,12,2026-07-14
Terra Pet,"pet jar 200 ml opaque white neck70",Meridian Polymers,16000,7.35,30,12,2026-07-01
Lumen Skin,"Aluminium screw cap 18mm with liner",Vidhata Glass Works,22000,2.40,30,14,2026-07-02
Bloom Baby,"Alu cap 18mm w/ EPE liner",Vidhata Glass Works,14000,2.40,30,14,2026-06-28
Sattva Wellness,"aluminium cap 18 mm liner",Krishna Glass Udyog,18000,2.55,15,20,2026-07-09
Root & Rye,"Standup pouch laminated 250g",Shakti Packaging,42000,4.20,0,20,2026-07-05
Copper Kettle,"laminated standup pouch 250 gm 3 side",Om Print & Pack,34000,3.95,45,22,2026-06-30
